쇱,5926519
방이,10525218
마루,10590873
신,10717165
카던지,10343385
부엌,10701208
에도,10717676
볏,10323759
말고,10692806
밭,10717170
짓던데,10707242
벼농사,10448561
밭농사,10500187
아프면,10714720
봐야지,10706585
에만,10688062
누워서,10622991
있으면,10714325
되는가요,5436381
아프마,10624942
되겠어요,10713856
큰집,10658683
가기,10710992
연락,10659354
미리,10687168
보려고,10677144
전화번호,9517607
알,10716866
가다가,10708525
차,10717542
살짝,10717683
부딪혔는데,6114320
진찰,10678393
받아,10714756
보는,10713452
좋겠죠,10700710
어제,10705685
술,10690288
잡수신,6130037
해장,9804017
나오셨습니까,6089058
잔칫상,6128474
의,10716411
대추,10555444
조청,10576486
찍어서,10032553
씩,10717856
빙,10425305
돌려,10524065
쌓으면,6128484
예쁘게,10712411
돼요,10703289
상,10717669
과수원,10575247
원두막,9516909
있는데,10716665
기둥,10690030
기울고,9310541
지붕,10665209
낡아서,10675831
손,10715740
봐야,10709203
경상도,10680247
에서는,10715210
제사,10703720
올릴,10453982
돔,10620578
발상,10323804
어,10717416
쓴디,6067270
상어,10176817
지,10718007
쓴다,10621653
샌,10712622
춥고,10716419
얼어,10716127
죽지,10623002
않게,10672691
밟기를,6130082
됩니다,10693218
엄청,10717087
돈,10715897
없어서,10709238
겨우,10665757
먹이,10706060
키웠는데,10716863
건강하게,10711212
커주니까,6127457
바랄,9971154
없더라,10687300
내,10717650
항상,10717958
도와줘야,10600326
되지,10718039
없으면,10714986
너희,10690470
어머니,10698542
혼자,10713287
아무,10714078
못,10716836
한다,10716262
오늘,10672225
했으니까,10712948
또,10718093
들러서,9651276
사고,10706490
막걸리,10652767
사서,10688663
들어가려고요,6121322
끓으면,10499646
들어내고,10415228
뼈,10670322
추려서,8253036
버리고,10711042
살,10718016
다시,10714544
끓이면,9480077
아,10716255
주차장,10624214
들어갈,10716399
앞,10713534
우선,10703411
세우고,10216771
가시는지,7963266
말,10716444
주면,10697897
들어,10707976
해주면,10715956
봄,10716864
진달래,9517119
개나리,10177018
여기저기,10672276
펴가,9469091
아주,10717413
예뻐요,10716808
피어,10433824
계단,10701454
내려가다가,9446821
삐끗,10635189
욱신욱,7967740
신하는데,6114670
침,10677539
이라도,10713836
맞아야,10705041
있는,10717784
강,10693176
깊고,9391237
깨끗해서,10489509
낚시질,6736525
물고기,10596705
그랬지요,10338398
형님,10683822
다니면,10699022
얼마나,10717693
부끄러운지,7965041
바짝,10670949
야위어서,6090834
걸음,10699465
거리,10717550
희한하거든요,6121504
창피한지,5410716
빠삭,745508
야위어,754434
걸음걸이,10183843
아주머니,10595695
약,10716986
먹을,10715146
생각,10718092
나을,10709326
리가,10691129
있겠습니까,10700015
있겠어요,10387706
동지,10507650
달,10717349
팥죽,10600805
신줏단,7194524
갖다,10708574
놓,10528440
기도,10715632
나눠,10670332
먹기,10717322
그래요,10703816
목,10712474
걸려서,9947919
숨,10711427
쉴,10642316
뒤,10717630
안고,10637911
배,10714451
부분,10647115
밀어,10350416
올려서,10360952
빼,10714488
내야,10703159
옛날,10717881
오리,10594263
키웠고,10587836
구이,10689717
자주,10717278
해먹,10694711
그랬어요,10677772
칠일,9017938
칠,10695545
성신,6130344
한테,10716718
공,10670203
들이는데,7840106
장수,10389422
부자,10688619
되게,10717587
해달라고,10519550
비는,10717638
거지,10717785
드리는,10708013
팔,10703817
쟁이,10677527
여러,10716327
묻는디,6318016
남한,10680356
테,10682873
가르,10385520
켜주지도,5987109
않아,10717469
예,10716440
묻는데,10561285
가르쳐,10467329
주지,10686388
않,10695111
않아요,10688607
갑자기,10717901
가쁘,10527263
가슴,10711456
답답하고,10669625
사람,10718099
바로,10713766
눕히고,9875896
단추,10669065
풀어야,9350273
땡볕,10655351
하다가,10714749
어지러우면,6121754
그늘,10716432
마시고,10705311
쉬어야,10050039
할아버지,10710953
농사짓지,7310364
자고,10712517
전혀,10716259
짓습니다,9675060
작은,10715636
모두,10693358
아랫,10532629
있었는데,10711828
다른,10715028
버렸어,10684156
식구,10714763
많고,10709897
건,10717795
매일,10715861
쑥,10717941
캐가지고,10691755
저녁,10712600
먹었어요,10715821
캐,10714497
무신,10692618
원래,10717272
드리면,10525271
딸꾹질,8621918
멈추지,10314884
온종일,10354483
과일,10688296
껍데기,10675230
꽃잎,9304871
들여서,10310897
입었어,10383797
요만,10708554
방,10701010
두,10717642
칸,10690264
이고,10717866
가마솥,10672310
있었어,10715500
쏟아지니까,10708745
마당,10702125
잠겨서,9531587
나갈,10705086
수가,10716616
없다,10713302
산불,10665722
번,10717675
져서,10440331
주위,10714302
뿌리,10717710
가스통,6569118
치우고,10702946
생난리,10097058
났다,10674360
아닙니까,10608603
삼베,10702522
무명,10526048
명,10717907
어르신,10708085
입습니까,9614257
노루,10336858
잡,10672565
뭘,10712592
사용,10694087
잡았습니까,6103019
말려서,10669407
지사,10601376
모시려면,6105620
드는데,10715401
마련,10656130
하나요,9125367
얻어,10710919
그랬습니까,10641767
가져가서,10175443
뒀니,5791874
되겠습니까,10640895
집안,10708355
소,10716964
먹일,10610639
쓰는,10717916
시설,10711161
도구,10632516
환갑잔치,6106894
보통,10714088
차렸습니까,6105702
과실,10573285
나무,10701444
키울,10715616
비료,10411558
쓰면,10710031
자랍니까,9822917
땔감,10615407
썼을,10641054
텐데,10715391
왔습니까,9646967
기와집,10320441
지을,10707371
대들보,9511285
올리는,10637846
삯,6109324
일꾼,10659652
같이,10718097
늦게,10686372
먹었으니까,10608912
점심,10705227
차려,10686698
괜찮겠지,9807397
축의금,9988224
친한,10665780
경우,10717832
넣습니까,6101239
호박,10674839
키우던디,6129547
좋,10716286
습,10666919
니,10712906
꺼,10716138
넣는데,10606322
가져다,10144301
씁니까,10374050
와,10717685
아까는,10666340
고삐,10558623
말씀,10702788
끼울,10149631
어찌,10676534
낚시,10660408
하니,10702438
지렁이,10661810
필요한데,10709585
파면,8971547
많습니까,10498909
은행,10688165
가려고,10678492
지난번,10671033
빌린,9110748
곗돈,8448471
이자,10696485
했어,10688854
하디,10620773
디,10709713
있노,10717167
카는디,8450481
같은디,8251639
하이,10707761
네,10717889
퍼떡,10698818
이장,10498503
댁,10668313
초상,10520518
바빠도,10592766
않겠습니까,10652313
있으신,10707603
가요,10703893
다니면서,10671238
길짐승,6413803
많이는,10687424
슬슬,10608233
개똥벌레,6108376
장구벌레,6111409
많지요,10632029
절굿,6116194
공이,10056174
갖고는,10597574
어려울,10706748
떡,10716925
메로,10209171
쳐야,10701792
되겠지요,9996048
트림,9240790
나고,10716072
답답한디,6454704
따도,10111544
괜찮겠습니까,9989454
막내,10701107
되는게,9939443
뛰,10702605
넘으면,10632158
캤습니다,10400911
있으십니까,9053528
난,10717607
상태,10715247
확인,10659350
환자,10700280
시켜,10712560
봐,10716782
주세요,10695348
랑,10670675
가야,10718006
누워,10701984
되겠는가,8980227
흙벽,8233790
고운,10663030
모래,10711001
쓰고,10716406
그다음,10714487
회로,10706320
칠합니까,6114240
고추,10702388
마늘,10667116
감자,10555253
이런,10717634
만큼만,10533023
심었습니까,6974853
하루거리,10379552
라고,10717712
열,10717146
확,10713151
났다가,9131338
내렸다가,9193383
예요,10715910
좋겠지요,10235462
돌려가면서,9474799
이쁘게,10671372
배기,10712644
`,10715068
캐면,9760393
남으면,10467698
약방,10640303
내다,10709674
남편,10714538
한마디,10566538
했더니,10649303
삐져서,6128550
가버리던데,6107398
들려서,10339433
세탁기,10687258
돌리고,10639674
물이,10709091
빠지더니,6110007
후,10714495
덜어내고,6128626
잔치국수,9410996
워낙,10713228
좋아해서,10670282
입,10711838
넣은,9447744
넘기지도,6090811
집어넣고,10404502
이런다니까,10246547
재봉틀,10542821
있었고,10632969
저기,10715815
책상,10520633
이었는데,10717887
오랜,10715986
오,10717701
바뀌었네,6128664
욱식욱신,5252807
잡아먹고,10436996
사,10715859
월,10666800
초파일,10507648
어울려서,10679663
불공,10113630
드리고,10701594
설법,6130252
듣고,10670095
동짓달,10457024
나누어,10329000
할머니,10710952
밭일,10676699
쓰러지길래,6788257
깜짝,10671561
놀래서,8820366
업고,10683547
갔어요,10662609
부터도,10658737
돌맹,7438588
이를,10714472
치우면,10240072
밑,10716345
메기,10342355
가만히,10705432
그때,10716114
잡으면,10600480
환갑,10526068
찍은,10503679
가족,10717891
사진,10707251
두었어요,6127674
이렇게,10717626
무덥,7749749
덥한,6130327
국물,10562541
김치,10679713
소면,8466539
있어도,10717306
맛있게,10689622
아닌가,10633258
칠성,9683216
님,10707343
달라,10708416
여러가지,10672847
짓지,10549944
저녁때,10382518
먹으면서,10716301
놀다가,10711141
남은,10698478
가져가고,10454915
친척,10648704
많으니까,10709158
에서도,10708154
모,10718094
여서,10692667
국수,10695796
끓이려고,7095674
큼,10507380
부으면,9991640
껍질,10608131
물들였는데,5922335
물들여서,6088253
입혔어,8937976
고추장,10694223
된장,10680288
담가,10654335
잡수십니까,9983468
잡습니까,6117201
어린,10696359
자랄까,5873629
건데,10712755
괜찮겠지요,9779878
추기,9436136
금은,10163444
키우던데,10677704
주치,10495293
돌,10717721
돌은,10246937
하셨,10585992
필요한,10698664
많을까,5915080
보,10717488
딸,10701269
학원,10670917
다닌다고,10701675
요리,10712980
다니는,10712110
모양,10672429
이지,10714233
얼른,10689414
가버렸네,6024697
해본,10651677
났다고,10602597
답답한데,10669620
하게,10715622
십,10695530
시오,10283209
다음,10717608
삐,10690050
쳐서,10652210
빠지지,10448904
그래,10718090
집어,10708630
넣고,10679923
다니까,10690403
사월,10392677
놀라서,10064582
가족사진,6128811
무더운,9626401
쯤,10714746
부어,10706186
야,10717739
물들이는데,6106731
시,10713654
장가,10630520
데려,10675483
놔뒀니,6088710
였습니까,5733268
다닌다,10716877
양,10717555
버스,10716748
정류장,9514501
창피해서,8169723
요즘,10717138
